,as_of,ask_id,fund_size
9017,2017-12,B13661,1495.34
9018,2018-01,B13661,1568.02
9019,2018-02,B13661,1473.31
9020,2018-03,B13661,1459.39
9021,2018-04,B13661,1437.58
9022,2018-05,B13661,1469.38
9023,2018-06,B13661,1492.79
9024,2018-07,B13661,1559.41
9025,2018-08,B13661,1647.26
9026,2018-09,B13661,1658.06
9027,2018-10,B13661,1534.56
9028,2018-11,B13661,1563.59
9029,2018-12,B13661,1238.39
9030,2019-01,B13661,1336.38
9031,2019-02,B13661,1387.18
9032,2019-03,B13661,1432.47
9033,2019-04,B13661,1494.22
9034,2019-05,B13661,1433.48
9035,2019-06,B13661,1524.43
9036,2019-07,B13661,1545.94
9037,2019-08,B13661,1569.2
9038,2019-09,B13661,1538.94
9039,2019-10,B13661,1556.44
9040,2019-11,B13661,1629.43
9041,2019-12,B13661,1657.27
9042,2020-01,B13661,1676.91
9043,2020-02,B13661,1543.55
9044,2020-03,B13661,1374.68
9045,2020-04,B13661,1603.27
9046,2020-05,B13661,1740.71
9047,2020-06,B13661,1843.43
9048,2020-07,B13661,1966.83
9049,2020-08,B13661,2122.7
9050,2020-09,B13661,2052.17
9051,2020-10,B13661,2018.34
9052,2020-11,B13661,2218.19
9053,2020-12,B13661,2259.2
9054,2021-01,B13661,2212.28
9055,2021-02,B13661,2308.11
9056,2021-03,B13661,2348.34
9057,2021-04,B13661,2517.27
9058,2021-05,B13661,2493.15
9059,2021-06,B13661,2608.53
9060,2021-07,B13661,2704.36
9061,2021-08,B13661,2812.17
9062,2021-09,B13661,2650.61
9063,2021-10,B13661,2827.43
9064,2021-11,B13661,2706.22
9065,2021-12,B13661,2767.29
9066,2022-01,B13661,2543.26
9067,2022-02,B13661,2414.27
9068,2022-03,B13661,2530.83
9069,2022-04,B13661,2329.47
9070,2022-05,B13661,2385.0
9071,2022-06,B13661,2192.46
9072,2022-07,B13661,2427.31
9073,2022-08,B13661,2288.62
9074,2022-09,B13661,2068.35
9075,2022-10,B13661,2181.96
9076,2022-11,B13661,2282.93
9077,2022-12,B13661,2138.53
