,as_of,ask_id,fund_size
6226,2024-06,B14035,302.374
6227,2024-07,B14035,312.334
6228,2024-08,B14035,291.448
6229,2024-09,B14035,297.541
6230,2024-10,B14035,292.95
6231,2024-11,B14035,297.451
6232,2024-12,B14035,297.348
6233,2025-01,B14035,303.067
6234,2025-02,B14035,310.375
6235,2025-03,B14035,294.365
6236,2025-04,B14035,264.398
6237,2025-05,B14035,254.37
6238,2025-06,B14035,253.978
6239,2003-03,B15791,1.66
6240,2004-01,B15791,1.702
6241,2004-02,B15791,2.497
6242,2004-03,B15791,2.507
6243,2004-04,B15791,1.609
6244,2004-05,B15791,1.599
6245,2004-06,B15791,1.613
6246,2004-07,B15791,1.595
6247,2004-08,B15791,1.561
6248,2004-09,B15791,1.508
6249,2004-10,B15791,1.532
6250,2004-11,B15791,1.517
6251,2004-12,B15791,1.529
6252,2005-01,B15791,1.593
6253,2005-02,B15791,1.594
6254,2005-03,B15791,1.60269
6255,2005-04,B15791,1.616
6256,2005-05,B15791,1.673
6257,2005-06,B15791,1.88
6258,2005-07,B15791,1.84905
6259,2005-08,B15791,1.852
6260,2005-09,B15791,1.785
6261,2005-10,B15791,1.767
6262,2005-11,B15791,1.813
6263,2005-12,B15791,1.757
6264,2006-01,B15791,1.919
6265,2006-02,B15791,1.913
6266,2006-03,B15791,1.931
6267,2006-04,B15791,1.92414
6268,2006-05,B15791,1.93447
6269,2006-06,B15791,1.941
6270,2006-07,B15791,1.932
6271,2006-08,B15791,2.007
6272,2006-09,B15791,1.89456
6273,2006-10,B15791,1.8977
6274,2006-11,B15791,1.95174
6275,2006-12,B15791,1.905
6276,2007-01,B15791,1.891
6277,2007-02,B15791,1.96456
6278,2007-03,B15791,1.89286
6279,2007-04,B15791,1.79108
6280,2007-05,B15791,1.85025
6281,2007-06,B15791,1.849
6282,2007-07,B15791,1.86433
6283,2007-08,B15791,1.875
6284,2007-09,B15791,1.878
6285,2007-10,B15791,1.858
6286,2007-11,B15791,1.893
6287,2007-12,B15791,1.886
6288,2008-01,B15791,1.993
6289,2008-02,B15791,1.879
6290,2008-03,B15791,1.902
6291,2008-04,B15791,1.845
6292,2008-05,B15791,0.343651
6293,2008-06,B15791,1.75285
6294,2008-07,B15791,1.74345
6295,2008-08,B15791,1.74026
6296,2008-09,B15791,1.74657
6297,2008-10,B15791,2.37944
6298,2008-11,B15791,2.28882
6299,2008-12,B15791,2.29794
6300,2009-01,B15791,2.27615
